date,time,line_short_code,headsign,freq_in_sec
22-Jul-22,5:10:03 PM,PYL,to Putrajaya,240
22-Jul-22,5:10:03 PM,PYL,to Kwasa Damansara,240
22-Jul-22,5:15:01 PM,AGL,to Sentul Timur,360
22-Jul-22,5:15:01 PM,AGL,to Ampang,360
22-Jul-22,5:15:01 PM,KGL,to Kajang,360
22-Jul-22,5:15:01 PM,KGL,to Kwasa Damansara,360
22-Jul-22,5:15:01 PM,KJL,to Gombak,360
22-Jul-22,5:15:01 PM,KJL,to Putra Heights,360
22-Jul-22,5:15:01 PM,MRL,to Titiwangsa,600
22-Jul-22,5:15:01 PM,MRL,to KL Sentral,600
22-Jul-22,5:15:01 PM,SPL,to Sentul Timur,360
22-Jul-22,5:15:01 PM,SPL,to Putra Heights,360
22-Jul-22,5:15:02 PM,PYL,to Putrajaya,240
22-Jul-22,5:15:02 PM,PYL,to Kwasa Damansara,240
22-Jul-22,5:20:01 PM,AGL,to Sentul Timur,360
22-Jul-22,5:20:01 PM,AGL,to Ampang,360
22-Jul-22,5:20:02 PM,KGL,to Kajang,360
22-Jul-22,5:20:02 PM,KGL,to Kwasa Damansara,360
22-Jul-22,5:20:02 PM,KJL,to Gombak,360
22-Jul-22,5:20:02 PM,KJL,to Putra Heights,360
22-Jul-22,5:20:02 PM,MRL,to Titiwangsa,600
22-Jul-22,5:20:02 PM,MRL,to KL Sentral,600
22-Jul-22,5:20:02 PM,SPL,to Sentul Timur,360
22-Jul-22,5:20:02 PM,SPL,to Putra Heights,360
22-Jul-22,5:20:02 PM,PYL,to Putrajaya,240
22-Jul-22,5:20:02 PM,PYL,to Kwasa Damansara,240
22-Jul-22,5:25:02 PM,AGL,to Sentul Timur,360
22-Jul-22,5:25:02 PM,AGL,to Ampang,360
22-Jul-22,5:25:02 PM,KGL,to Kajang,360
22-Jul-22,5:25:02 PM,KGL,to Kwasa Damansara,360
22-Jul-22,5:25:02 PM,KJL,to Gombak,360
22-Jul-22,5:25:02 PM,KJL,to Putra Heights,360
22-Jul-22,5:25:02 PM,MRL,to Titiwangsa,600
22-Jul-22,5:25:02 PM,MRL,to KL Sentral,600
22-Jul-22,5:25:02 PM,SPL,to Sentul Timur,360
22-Jul-22,5:25:02 PM,SPL,to Putra Heights,360
22-Jul-22,5:25:02 PM,PYL,to Putrajaya,240
22-Jul-22,5:25:03 PM,PYL,to Kwasa Damansara,240
22-Jul-22,5:30:01 PM,AGL,to Sentul Timur,360
22-Jul-22,5:30:01 PM,AGL,to Ampang,360
22-Jul-22,5:30:02 PM,KGL,to Kajang,360
22-Jul-22,5:30:02 PM,KGL,to Kwasa Damansara,360
22-Jul-22,5:30:02 PM,KJL,to Gombak,360
22-Jul-22,5:30:02 PM,KJL,to Putra Heights,360
22-Jul-22,5:30:02 PM,MRL,to Titiwangsa,600
22-Jul-22,5:30:02 PM,MRL,to KL Sentral,600
22-Jul-22,5:30:02 PM,SPL,to Sentul Timur,360
22-Jul-22,5:30:02 PM,SPL,to Putra Heights,360
22-Jul-22,5:30:02 PM,PYL,to Putrajaya,240
22-Jul-22,5:30:02 PM,PYL,to Kwasa Damansara,240
22-Jul-22,5:35:01 PM,AGL,to Sentul Timur,360
