date,time,line_short_code,headsign,freq_in_sec
22 July 2022, 03:55:11 PM,PYL,to Kwasa Damansara,360
22 July 2022, 04:00:02 PM,AGL,to Sentul Timur,480
22 July 2022, 04:00:02 PM,AGL,to Ampang,480
22 July 2022, 04:00:03 PM,KGL,to Kajang,480
22 July 2022, 04:00:03 PM,KGL,to Kwasa Damansara,480
22 July 2022, 04:00:05 PM,KJL,to Gombak,420
22 July 2022, 04:00:05 PM,KJL,to Putra Heights,420
22 July 2022, 04:00:06 PM,MRL,to Titiwangsa,300
22 July 2022, 04:00:06 PM,MRL,to KL Sentral,300
22 July 2022, 04:00:08 PM,SPL,to Sentul Timur,840
22 July 2022, 04:00:08 PM,SPL,to Putra Heights,840
22 July 2022, 04:00:09 PM,SPL,to Sentul Timur,840
22 July 2022, 04:00:09 PM,SPL,to Putra Heights,840
22 July 2022, 04:00:10 PM,PYL,to Putrajaya,360
22 July 2022, 04:00:11 PM,PYL,to Kwasa Damansara,360
22 July 2022, 04:05:01 PM,AGL,to Sentul Timur,480
22 July 2022, 04:05:02 PM,AGL,to Ampang,480
22 July 2022, 04:05:04 PM,KGL,to Kajang,480
22 July 2022, 04:05:04 PM,KGL,to Kwasa Damansara,480
22 July 2022, 04:05:06 PM,KJL,to Gombak,420
22 July 2022, 04:05:07 PM,KJL,to Putra Heights,420
22 July 2022, 04:05:07 PM,MRL,to Titiwangsa,300
22 July 2022, 04:05:09 PM,MRL,to KL Sentral,300
22 July 2022, 04:05:09 PM,SPL,to Sentul Timur,840
22 July 2022, 04:05:10 PM,SPL,to Putra Heights,840
22 July 2022, 04:05:11 PM,SPL,to Sentul Timur,840
22 July 2022, 04:05:12 PM,SPL,to Putra Heights,840
22 July 2022, 04:05:12 PM,PYL,to Putrajaya,360
22 July 2022, 04:05:13 PM,PYL,to Kwasa Damansara,360
22 July 2022, 04:10:02 PM,AGL,to Sentul Timur,480
22 July 2022, 04:10:03 PM,AGL,to Ampang,480
22 July 2022, 04:10:05 PM,KGL,to Kajang,480
22 July 2022, 04:10:06 PM,KGL,to Kwasa Damansara,480
22 July 2022, 04:10:08 PM,KJL,to Gombak,420
22 July 2022, 04:10:08 PM,KJL,to Putra Heights,420
22 July 2022, 04:10:09 PM,MRL,to Titiwangsa,300
22 July 2022, 04:10:09 PM,MRL,to KL Sentral,300
22 July 2022, 04:10:11 PM,SPL,to Sentul Timur,840
22 July 2022, 04:10:11 PM,SPL,to Putra Heights,840
22 July 2022, 04:10:12 PM,SPL,to Sentul Timur,840
22 July 2022, 04:10:12 PM,SPL,to Putra Heights,840
22 July 2022, 04:10:14 PM,PYL,to Putrajaya,360
22 July 2022, 04:10:14 PM,PYL,to Kwasa Damansara,360
22 July 2022, 04:15:02 PM,AGL,to Sentul Timur,480
22 July 2022, 04:15:02 PM,AGL,to Ampang,480
22 July 2022, 04:15:04 PM,KGL,to Kajang,480
22 July 2022, 04:15:04 PM,KGL,to Kwasa Damansara,480
22 July 2022, 04:15:05 PM,KJL,to Gombak,420
22 July 2022, 04:15:05 PM,KJL,to Putra Heights,420
22 July 2022, 04:15:07 PM,MRL,to Titiwangsa,300
22 July 2022, 04:15:07 PM,MRL,to KL Sentral,300
22 July 2022, 04:15:09 PM,SPL,to Sentul Timur,840
22 July 2022, 04:15:09 PM,SPL,to Putra Heights,840
22 July 2022, 04:15:10 PM,SPL,to Sentul Timur,840
22 July 2022, 04:15:12 PM,SPL,to Putra Heights,840
22 July 2022, 04:15:12 PM,PYL,to Putrajaya,360
22 July 2022, 04:15:14 PM,PYL,to Kwasa Damansara,360
22 July 2022, 04:20:01 PM,AGL,to Sentul Timur,480
22 July 2022, 04:20:02 PM,AGL,to Ampang,480
22 July 2022, 04:20:04 PM,KGL,to Kajang,480
22 July 2022, 04:20:05 PM,KGL,to Kwasa Damansara,480
22 July 2022, 04:20:05 PM,KJL,to Gombak,420
22 July 2022, 04:20:07 PM,KJL,to Putra Heights,420
22 July 2022, 04:20:07 PM,MRL,to Titiwangsa,300
22 July 2022, 04:20:08 PM,MRL,to KL Sentral,300
22 July 2022, 04:20:08 PM,SPL,to Sentul Timur,840
22 July 2022, 04:20:10 PM,SPL,to Putra Heights,840
22 July 2022, 04:20:11 PM,SPL,to Sentul Timur,840
22 July 2022, 04:20:11 PM,SPL,to Putra Heights,840
22 July 2022, 04:20:12 PM,PYL,to Putrajaya,360
22 July 2022, 04:20:12 PM,PYL,to Kwasa Damansara,360
22 July 2022, 04:25:02 PM,AGL,to Sentul Timur,480
22 July 2022, 04:25:04 PM,AGL,to Ampang,480
22 July 2022, 04:25:04 PM,KGL,to Kajang,480
22 July 2022, 04:25:05 PM,KGL,to Kwasa Damansara,480
22 July 2022, 04:25:05 PM,KJL,to Gombak,420
22 July 2022, 04:25:06 PM,KJL,to Putra Heights,420
22 July 2022, 04:25:06 PM,MRL,to Titiwangsa,300
22 July 2022, 04:25:08 PM,MRL,to KL Sentral,300
22 July 2022, 04:25:08 PM,SPL,to Sentul Timur,840
22 July 2022, 04:25:09 PM,SPL,to Putra Heights,840
22 July 2022, 04:25:09 PM,SPL,to Sentul Timur,840
22 July 2022, 04:25:10 PM,SPL,to Putra Heights,840
22 July 2022, 04:25:11 PM,PYL,to Putrajaya,360
22 July 2022, 04:25:12 PM,PYL,to Kwasa Damansara,360
22 July 2022, 04:30:17 PM,AGL,to Sentul Timur,480
22 July 2022, 04:30:17 PM,AGL,to Ampang,480
22 July 2022, 04:30:17 PM,KGL,to Kajang,480
22 July 2022, 04:30:17 PM,KGL,to Kwasa Damansara,480
22 July 2022, 04:30:17 PM,KJL,to Gombak,420
22 July 2022, 04:30:17 PM,KJL,to Putra Heights,420
22 July 2022, 04:30:17 PM,MRL,to Titiwangsa,300
